spp;alt;light;moisture;ph;nutrients;avg alt;FD_Temperature;FD_Moisture;FD_Radiation;wight;sla;dmage;height;photosy;toughness;pieris;spod;C/N;GLS C;GLS JA;GLS JA-C;nb_peaks;VOC C;VOC JA;VOCS JA-C
C_alpina;1;4;4;2;2;2450.298246;681.2931034;678.7758621;24673.18966;158.625;16.23765394;3.4375;4.5625;38.89583333;45;NA;NA;10.58303473;68.17694219;46.69896199;-21.4779802;13;0.153395753;0.210993248;0.057597495
C_amara;2;4;5;3;3;954.1896552;2226.8375;-147.24375;26627.3;269.875;14.30763567;8.75;26.125;28.75208333;61.625;2.751619048;0.201775;8.729169058;44.60056339;44.5132426;-0.087320793;7;0.287444062;4.057664312;3.77022025
C_asarifolia;2;4;5;2;3;998.8888889;2141.5;-264.6111111;26309.27778;NA;NA;NA;NA;NA;NA;NA;NA;NA;44.12138149;NA;NA;NA;0.257888615;0.804645722;0.546757107
C_bulbifera;3.5;2;3.5;3;4;581;2506.1;0.45;27535.2;515.5;55.53945404;37.5;36.55;33.62333333;42.26666667;NA;NA;10.28313084;27.56959;47.79367679;20.22408679;8;0.409144277;3.202373529;2.793229252
C_flexuosa;3.5;3;4.5;3;3;744.3142857;2250.214286;7.511904762;26251.69048;696;39.54671803;24.5;25;28.2;72.16666667;6.297380952;0.463927381;15.33869953;49.99789567;70.20342993;20.20553426;8;0.596742626;0.637455268;0.040712642
C_heptaphylla;3.5;3;4;3;4;1097.473029;1892.806202;230.6937984;24334.63566;2167.084615;23.70049866;10.75;48.75;30.42395833;72.04166667;NA;NA;19.64016511;6.425146461;0.527035879;-5.898110582;10;0.65388691;1.708892031;1.055005121
C_hirsuta;3;2;3.5;4;4;512.4386503;2424.266836;-76.72808132;27315.53875;384.9375;49.93836711;14.375;21.125;17.74375;43.85416667;4.271;0.092764103;17.59852889;23.19655906;16.97931089;-6.217248174;9;0.706185386;7.444387729;6.738202342
C_impatiens;3.5;4;3;3;4;701.1320755;2449.769231;-135.9358974;26362.30769;656.25;45.55033343;15.5;45.4;33.49;26.26666667;8.053654762;0.566558333;9.923319044;15.47320003;31.75517869;16.28197866;10;0.851643714;4.912607656;4.060963943
C_kitaibelii;3.5;3;3.5;3;4;860.0512821;2316.309524;497.2142857;21691.52381;1533.514286;13.79873823;26.25;45.75;25.68541667;63.33333333;NA;NA;12.26650665;40.44622877;30.6165078;-9.829720962;5;1.459830159;1.031386561;-0.428443598
C_matthioli;3.5;2;3;4;4;325.5833333;3168.75;280.1136364;26774.36364;1130.666667;42.18916037;24;59.6;22.64;76.33333333;NA;NA;11.28379304;12.29908295;13.5618568;1.262773855;6;0.30475204;0.141255306;-0.163496734
C_palustris;4.5;3;4;3;3;465.25;2808.473684;-474.2631579;27064.73684;489.375;44.32344603;18.84615385;35.69230769;34.19230769;90.66666667;NA;NA;8.724124759;35.58250943;28.22588495;-7.35662448;10;0.352402606;7.919451548;7.567048942
C_pentaphyllos;3;2;3.5;4;4;1041.727273;1939.821053;190.1473684;23314.67368;1959.5875;12.81198509;18.5;51.2;32.89666667;64.66666667;NA;NA;9.468935039;55.10039235;45.70519919;-9.395193163;11;2.453042528;6.124597824;3.671555296
C_pratensis;3.5;3;3.5;3;4;766.9235016;2077.471562;87.53923686;26877.38157;428.125;22.80581026;4.722222222;38.13888889;46.37291667;130.21875;6.642809524;0.457804167;13.28757386;24.49266459;NA;NA;NA;1.08432759;6.538950828;5.454623238
C_resedifolia;1.5;5;3;2;2;2517.431579;583.1958763;587.7989691;26220.24742;260.5384615;17.91864483;7.083333333;9.1;49.84861111;54.75;3.407285714;0.153254444;10.86461811;60.67477004;50.36731294;-10.3074571;13;1.863626092;1.427366844;-0.436259247
C_rivularis;2;4;4;2;2;1323.411765;1672.8;304.55;26729.65;73;26.2781152;1.052631579;17.5;39.03472222;84.93333333;NA;NA;NA;54.07510825;NA;-10;NA;0.365912522;1.88323758;1.517325058
C_trifolia;3;2;3.5;4;3;820.7368421;2147.625;-2.75;24822.575;1699.1;28.61952387;4;15.4;44.74666667;135.5333333;NA;NA;12.46863749;63.00861858;61.12944267;-1.879175913;7;0.432967979;0.463407988;0.030440009
