Massachusetts, Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
198801,11.2
198802,16.7
198803,24.7
198804,35.5
198805,45.7
198806,51.5
198807,61.4
198808,61.2
198809,47.1
198810,35.7
198811,31.3
198812,17.9
198901,19.5
198902,16.8
198903,23.6
198904,32.1
198905,46.5
198906,55.8
198907,58.8
198908,58.1
198909,50.4
198910,39.2
198911,29.8
198912,6.2
199001,24.4
199002,19.4
199003,25.4
199004,35.4
199005,43.1
199006,53.9
199007,60.4
199008,60.3
199009,49.3
199010,44.1
199011,32.4
199012,25.9
199101,15.3
199102,21.8
199103,29.0
199104,37.0
199105,48.4
199106,54.2
199107,58.5
199108,59.5
199109,48.1
199110,41.3
199111,33.2
199112,21.8
199201,17.2
199202,19.2
199203,22.8
199204,32.7
199205,42.1
199206,52.0
199207,56.2
199208,56.3
199209,49.6
199210,36.2
199211,30.7
199212,21.8
199301,19.6
199302,10.5
199303,22.2
199304,35.5
199305,45.7
199306,53.0
199307,58.9
199308,58.6
199309,51.4
199310,37.0
199311,29.6
199312,21.3
199401,6.5
199402,12.0
199403,24.9
199404,35.7
199405,43.0
199406,56.8
199407,63.5
199408,56.9
199409,50.0
199410,38.2
199411,33.8
199412,24.9
199501,24.3
199502,14.3
199503,28.5
199504,32.3
199505,43.6
199506,53.8
199507,61.9
199508,56.7
199509,47.3
199510,41.9
199511,28.6
199512,17.4
199601,15.3
199602,17.3
199603,21.2
199604,35.2
199605,43.3
199606,55.7
199607,59.0
199608,58.6
199609,51.9
199610,38.7
199611,27.5
199612,28.0
199701,16.8
199702,23.8
199703,24.8
199704,32.7
199705,42.5
199706,53.2
199707,58.0
199708,57.1
199709,49.8
199710,37.2
199711,29.6
199712,22.6
199801,23.8
199802,25.3
199803,28.6
199804,35.9
199805,48.3
199806,55.4
199807,59.6
199808,59.4
199809,51.4
199810,41.2
199811,31.4
199812,26.0
199901,15.8
199902,21.2
199903,26.9
199904,34.8
199905,45.5
199906,55.7
199907,61.6
199908,57.8
199909,53.9
199910,37.4
199911,35.1
199912,24.3
200001,13.6
200002,20.8
200003,29.9
200004,35.9
200005,45.2
200006,54.5
200007,57.0
200008,57.3
200009,49.3
200010,39.3
200011,32.4
200012,16.0
200101,14.8
200102,18.2
200103,24.8
200104,34.1
200105,45.6
200106,56.3
200107,55.7
200108,61.0
200109,50.4
200110,39.6
200111,33.8
200112,27.2
200201,24.1
200202,22.0
200203,27.2
200204,37.3
200205,43.3
200206,52.8
200207,60.0
200208,59.9
200209,53.5
200210,38.7
200211,31.0
200212,19.9
200301,10.2
200302,13.7
200303,22.7
200304,32.9
200305,44.1
200306,54.6
200307,60.6
200308,62.2
200309,52.7
200310,38.3
200311,34.0
200312,22.8
200401,9.4
200402,17.5
200403,27.7
200404,36.3
200405,47.2
200406,52.7
200407,59.8
200408,59.4
200409,51.8
200410,40.8
200411,30.7
200412,21.2
200501,14.1
200502,17.9
200503,21.3
200504,35.6
200505,41.9
200506,57.2
200507,61.3
200508,61.6
200509,53.1
200510,44.2
200511,31.7
200512,19.6
200601,24.0
200602,19.2
200603,25.2
200604,35.6
200605,46.5
200606,57.8
200607,63.3
200608,57.9
200609,49.9
200610,39.4
200611,37.4
200612,28.4
200701,21.7
200702,13.7
200703,23.2
200704,33.8
200705,45.5
200706,54.5
200707,59.7
200708,58.1
200709,51.2
200710,45.7
200711,29.3
200712,20.8
200801,18.9
200802,19.9
200803,25.2
200804,35.6
200805,42.7
200806,56.8
200807,62.4
200808,56.8
200809,52.6
200810,38.1
200811,31.6
200812,22.5
200901,10.3
200902,18.6
200903,25.4
200904,37.0
200905,46.2
200906,54.4
200907,58.1
200908,61.1
200909,48.9
200910,39.3
200911,36.9
200912,20.9
201001,17.8
201002,22.6
201003,32.2
201004,38.5
201005,47.9
201006,56.9
201007,62.8
201008,59.3
201009,53.9
201010,41.7
201011,32.2
201012,20.1
201101,13.1
201102,14.4
201103,26.2
201104,37.9
201105,48.8
201106,54.8
201107,61.5
201108,59.9
201109,55.9
201110,43.6
201111,35.0
201112,26.6
201201,21.8
201202,24.2
201203,33.7
201204,36.8
201205,50.6
201206,54.6
201207,61.6
201208,60.5
201209,51.3
201210,44.6
201211,30.6
201212,27.4
201301,18.7
201302,20.9
201303,26.6
201304,34.9
201305,45.3
201306,56.5
201307,65.8
201308,57.2
201309,49.4
201310,40.8
201311,28.8
201312,21.1
201401,13.8
201402,14.3
201403,18.4
201404,34.6
201405,46.3
201406,54.3
201407,61.0
201408,56.2
201409,50.9
201410,44.3
201411,30.0
201412,28.2
201501,12.3
201502,3.1
201503,19.1
201504,34.7
201505,48.3
201506,53.3
201507,60.0
201508,60.2
201509,54.0
201510,39.3
201511,34.4
201512,34.0
201601,20.2
201602,20.2
201603,31.0
201604,33.5
201605,46.3
201606,54.1
201607,60.9
201608,61.0
201609,53.8
201610,42.0
201611,32.6
201612,22.3
201701,23.9
201702,23.3
201703,22.3
201704,39.8
201705,45.9
201706,54.8
201707,60.0
201708,56.9
201709,55.0
201710,46.7
201711,30.4
201712,19.2
201801,15.5
201802,24.8
201803,26.9
201804,32.4
201805,49.2
201806,53.9
201807,62.3
201808,64.4
201809,56.8
201810,41.7
201811,30.6
201812,23.8
201901,17.4
