Massachusetts, Cooling Degree Days
Units: Fahrenheit Degree-Days
Missing: -99
Date,Value
199001,0
199002,0
199003,0
199004,0
199005,0
199006,61
199007,189
199008,184
199009,15
199010,2
199011,0
199012,0
199101,0
199102,0
199103,0
199104,0
199105,28
199106,82
199107,178
199108,185
199109,9
199110,0
199111,0
199112,0
199201,0
199202,0
199203,0
199204,0
199205,3
199206,48
199207,96
199208,100
199209,14
199210,0
199211,0
199212,0
199301,0
199302,0
199303,0
199304,0
199305,10
199306,66
199307,200
199308,180
199309,19
199310,0
199311,0
199312,0
199401,0
199402,0
199403,0
199404,0
199405,0
199406,115
199407,293
199408,116
199409,11
199410,0
199411,0
199412,0
199501,0
199502,0
199503,0
199504,0
199505,0
199506,71
199507,251
199508,156
199509,9
199510,0
199511,0
199512,0
199601,0
199602,0
199603,0
199604,0
199605,0
199606,78
199607,146
199608,149
199609,19
199610,0
199611,0
199612,0
199701,0
199702,0
199703,0
199704,0
199705,0
199706,65
199707,176
199708,122
199709,18
199710,0
199711,0
199712,0
199801,0
199802,0
199803,0
199804,0
199805,17
199806,48
199807,192
199808,185
199809,39
199810,0
199811,0
199812,0
199901,0
199902,0
199903,0
199904,0
199905,6
199906,124
199907,269
199908,148
199909,58
199910,0
199911,0
199912,0
200001,0
200002,0
200003,0
200004,0
200005,4
200006,65
200007,104
200008,110
200009,15
200010,0
200011,0
200012,0
200101,0
200102,0
200103,0
200104,0
200105,9
200106,116
200107,106
200108,229
200109,30
200110,0
200111,0
200112,0
200201,0
200202,0
200203,0
200204,0
200205,0
200206,45
200207,215
200208,226
200209,60
200210,0
200211,0
200212,0
200301,0
200302,0
200303,0
200304,0
200305,0
200306,45
200307,213
200308,226
200309,36
200310,0
200311,0
200312,0
200401,0
200402,0
200403,0
200404,0
200405,12
200406,45
200407,147
200408,155
200409,31
200410,0
200411,0
200412,0
200501,0
200502,0
200503,0
200504,0
200505,0
200506,113
200507,212
200508,242
200509,65
200510,0
200511,0
200512,0
200601,0
200602,0
200603,0
200604,0
200605,4
200606,84
200607,272
200608,137
200609,14
200610,0
200611,0
200612,0
200701,0
200702,0
200703,0
200704,0
200705,11
200706,70
200707,186
200708,168
200709,42
200710,6
200711,0
200712,0
200801,0
200802,0
200803,0
200804,0
200805,0
200806,106
200807,249
200808,112
200809,31
200810,0
200811,0
200812,0
200901,0
200902,0
200903,0
200904,0
200905,5
200906,27
200907,114
200908,215
200909,12
200910,0
200911,0
200912,0
201001,0
