Massachusetts, Precipitation
Units: Inches
Missing: -99
Date,Value
199001,4.66
199002,3.86
199003,2.57
199004,4.57
199005,7.12
199006,1.99
199007,3.57
199008,7.37
199009,1.91
199010,6.93
199011,2.58
199012,4.88
199101,3.07
199102,1.99
199103,4.76
199104,3.51
199105,3.84
199106,2.48
199107,2.63
199108,7.33
199109,6.79
199110,3.62
199111,4.92
199112,3.29
199201,2.73
199202,2.14
199203,3.89
199204,2.90
199205,1.86
199206,5.25
199207,3.65
199208,5.65
199209,3.34
199210,2.37
199211,4.98
199212,6.03
199301,2.45
199302,3.54
199303,6.59
199304,5.04
199305,1.18
199306,2.28
199307,2.68
199308,2.04
199309,4.95
199310,3.87
199311,4.28
199312,5.55
199401,5.17
199402,2.51
199403,6.38
199404,2.86
199405,4.43
199406,2.58
199407,3.66
199408,5.55
199409,4.50
199410,0.94
199411,4.15
199412,5.08
199501,3.75
199502,2.74
199503,2.49
199504,2.31
199505,2.69
199506,2.45
199507,3.12
199508,2.12
199509,3.13
199510,8.40
199511,5.81
199512,2.48
199601,6.60
199602,3.06
199603,2.95
199604,6.83
199605,4.02
199606,2.96
199607,6.46
199608,2.48
199609,7.50
199610,7.69
199611,3.10
199612,6.96
199701,3.41
199702,2.08
199703,4.37
199704,5.15
199705,3.43
199706,1.35
199707,3.23
199708,4.63
199709,1.75
199710,2.08
199711,6.47
199712,3.17
199801,5.81
199802,4.48
199803,5.09
199804,3.67
199805,4.96
199806,9.21
199807,2.88
199808,2.82
199809,2.34
199810,4.99
199811,2.33
199812,1.58
199901,6.40
199902,3.59
199903,4.89
199904,1.12
199905,3.91
199906,1.44
199907,2.92
199908,2.90
199909,9.03
199910,4.58
199911,2.98
199912,2.28
200001,3.52
200002,3.37
200003,4.42
200004,5.87
200005,3.94
200006,6.20
200007,5.37
200008,3.63
200009,3.57
200010,2.47
200011,3.53
200012,4.30
200101,2.20
200102,2.78
200103,8.75
200104,1.75
200105,3.06
200106,5.89
200107,3.29
200108,3.36
200109,3.54
200110,1.10
200111,1.22
200112,3.04
200201,2.63
200202,2.25
200203,4.24
200204,3.77
200205,5.43
200206,4.59
200207,1.98
200208,2.85
200209,4.19
200210,4.16
200211,5.88
200212,5.26
200301,2.83
200302,4.05
200303,4.42
200304,4.09
200305,4.17
200306,5.52
200307,2.67
200308,5.75
200309,5.34
200310,5.70
200311,3.03
200312,5.72
200401,1.52
200402,1.77
200403,2.47
200404,7.32
200405,3.80
200406,2.21
200407,3.94
200408,5.60
200409,7.42
200410,2.19
200411,3.78
200412,4.48
200501,5.02
200502,2.74
200503,4.97
200504,4.86
200505,4.62
200506,2.46
200507,3.38
200508,3.21
200509,2.74
200510,14.03
200511,5.08
200512,3.90
200601,5.61
200602,2.41
200603,0.66
200604,2.95
200605,8.37
200606,9.49
200607,3.41
200608,4.34
200609,2.84
200610,5.75
200611,5.54
200612,2.33
200701,3.35
200702,2.15
200703,5.16
200704,7.60
200705,3.29
200706,3.07
200707,4.59
200708,1.43
200709,2.54
200710,3.61
200711,3.63
200712,5.07
200801,2.57
200802,8.50
200803,5.52
200804,3.91
200805,2.21
200806,4.46
200807,6.81
200808,3.76
200809,8.24
200810,2.84
200811,3.81
200812,7.07
200901,3.80
200902,1.79
200903,3.02
200904,4.16
200905,3.83
200906,5.60
200907,8.58
200908,4.72
200909,2.11
200910,5.98
200911,3.25
200912,4.87
201001,3.35
