Massachusetts, Palmer Hydrological Drought Index (PHDI)
Missing: -99
Date,Value
199001,2.46
199002,2.49
199003,1.67
199004,1.73
199005,2.85
199006,1.93
199007,1.61
199008,2.58
199009,1.84
199010,2.76
199011,1.94
199012,2.08
199101,1.64
199102,0.91
199103,1.02
199104,0.57
199105,-0.99
199106,-1.39
199107,-1.69
199108,1.07
199109,2.08
199110,2.02
199111,2.13
199112,1.74
199201,1.22
199202,0.60
199203,0.62
199204,-1.00
199205,-1.54
199206,-0.83
199207,0.74
199208,1.55
199209,1.45
199210,1.20
199211,1.49
199212,2.15
199301,1.48
199302,1.47
199303,2.42
199304,2.58
199305,1.31
199306,-1.57
199307,-2.07
199308,-2.84
199309,-2.37
199310,-2.02
199311,-1.79
199312,-0.97
199401,1.33
199402,0.87
199403,1.74
199404,1.03
199405,1.20
199406,0.55
199407,-0.85
199408,0.55
199409,0.78
199410,-0.82
199411,-0.96
199412,-0.43
199501,-0.36
199502,-0.54
199503,-1.11
199504,-1.57
199505,-1.73
199506,-2.05
199507,-2.21
199508,-2.80
199509,-2.83
199510,-1.09
199511,2.03
199512,1.36
199601,2.30
199602,1.98
199603,1.51
199604,2.51
199605,2.38
199606,1.83
199607,2.84
199608,2.23
199609,3.24
199610,4.65
199611,4.00
199612,4.66
199701,4.09
199702,3.13
199703,3.03
199704,3.28
199705,2.95
199706,1.78
199707,1.29
199708,1.32
199709,-1.47
199710,-1.97
199711,-1.22
199712,-1.31
199801,1.04
199802,1.45
199803,1.65
199804,1.27
199805,1.39
199806,3.27
199807,2.73
199808,2.03
199809,1.20
199810,1.42
199811,0.63
199812,-2.00
199901,-0.79
199902,1.06
199903,1.28
199904,-1.20
199905,-1.07
199906,-1.91
199907,-2.33
199908,-2.68
199909,-0.99
199910,1.90
199911,1.24
199912,0.57
200001,-0.92
200002,0.07
200003,0.05
200004,0.82
200005,0.77
200006,1.59
200007,2.36
200008,2.31
200009,2.16
200010,1.72
200011,1.41
200012,1.46
200101,0.77
200102,-0.77
200103,1.91
200104,0.80
200105,-1.16
200106,0.67
200107,0.69
200108,-0.18
200109,-0.30
200110,-1.24
200111,-2.50
200112,-2.96
200201,-3.05
200202,-3.19
200203,-2.81
200204,-2.75
200205,-1.82
200206,-1.28
200207,-1.75
200208,-2.14
200209,-2.04
200210,-1.64
200211,-0.87
200212,1.23
200301,0.79
200302,1.08
200303,1.18
200304,1.23
200305,1.31
200306,1.87
200307,1.37
200308,1.80
200309,2.13
200310,2.96
200311,2.27
200312,2.73
200401,1.66
200402,0.83
200403,-1.83
200404,1.27
200405,1.03
200406,-0.59
200407,0.14
200408,0.72
200409,1.84
200410,1.37
200411,1.16
200412,1.30
200501,1.66
200502,1.27
200503,1.63
200504,1.70
200505,2.01
200506,1.22
200507,0.85
200508,-1.21
200509,-1.70
200510,3.54
200511,3.52
200512,3.20
200601,3.57
200602,2.83
200603,1.30
200604,0.65
200605,2.19
200606,4.01
200607,3.49
200608,3.35
200609,2.73
200610,3.25
200611,3.30
200612,2.34
200701,1.98
200702,1.28
200703,1.66
200704,3.04
200705,2.44
200706,1.92
200707,2.13
200708,1.03
200709,-1.47
200710,-1.72
200711,-1.94
200712,-1.29
200801,-1.56
200802,2.40
200803,2.78
200804,2.35
200805,1.63
200806,1.60
200807,2.71
200808,2.67
200809,3.94
200810,3.52
200811,3.13
200812,3.99
200901,3.62
200902,2.59
200903,1.98
200904,1.72
200905,1.51
200906,2.13
200907,4.12
200908,4.15
200909,3.38
200910,4.08
200911,3.28
200912,3.34
201001,2.88
